id;Статус;Группа;Курс;Факультет;Кафедра;Шифр направления;Название направления;Профиль;Форма обучения;Уровень образования
1;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
2;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
3;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
4;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
5;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
6;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
7;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
8;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
9;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
10;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
11;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
12;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
13;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
14;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
15;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
16;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
17;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
18;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
19;Академический отпуск;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
20;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
21;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
22;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
23;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
24;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
25;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
26;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
27;Академический отпуск;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
28;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
29;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
30;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
31;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
32;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
33;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
34;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
35;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
36;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
37;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
38;Обучается;3РОб-1;2;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
39;Академический отпуск;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
40;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
41;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
42;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
43;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
44;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
45;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
46;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
47;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
48;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
49;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
50;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
51;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
52;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
53;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
54;Обучается;2РОб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
55;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
56;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
57;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
58;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
59;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
60;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
61;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
62;Академический отпуск;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
63;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
64;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
65;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
66;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
67;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
68;Академический отпуск;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
69;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
70;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
71;Обучается;1РОб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
72;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
73;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
74;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
75;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
76;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
77;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
78;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
79;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
80;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
81;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
82;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
83;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
84;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
85;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
86;Обучается;2ДАб-1;3;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
87;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
88;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
89;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
90;Академический отпуск;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
91;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
92;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
93;Академический отпуск;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
94;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
95;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
96;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
97;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
98;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
99;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
100;Обучается;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
101;Академический отпуск;1ДАб-1;4;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);46.03.02;Документоведение и архивоведение;Документационное обеспечение управления организацией;Очная форма;Бакалавриат
102;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
103;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
104;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
105;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
106;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
107;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
108;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
109;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
110;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
111;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
112;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
113;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
114;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
115;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
116;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
117;Обучается;4БЛб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК);45.03.02;Лингвистика;Специальный перевод;Очная форма;Бакалавриат
